TITULO;;CPB_ROE;;PAIS_OBRA;;QTD_DIAS_EXIBICAO;;QTD_PUBLICO;;NOTA;;VOTOS;;QTD_DIRETOR_M;;QTD_DIRETOR_F;;DIRETOR_GENERO;;QTD_ROTERISTA_MQTD_ROTERISTA_FROTERISTA_GENERO
""" A PRIMEIRA MISSA""";;B1301902100000;;BRASIL;;35;;583;;6,6;;65;;0;;1;;F;;00M
#SCREAMERS;;E1700444000000;;ESTADOS UNIDOS;;8;;723;;4,3;;1282;;1;;0;;M;;20M
@ARTHURRAMBO - ÓDIO NAS REDES;;E2200161800000;;OUTROS;;18;;822;;6,1;;614;;1;;0;;M;;30M
007 - SEM TEMPO PARA MORRER;;E1900438800000;;ESTADOS UNIDOS;;97;;1091342;;7,3;;443245;;0;;1;;F;;22M
007 CONTRA SPECTRE;;E1500485800000;;ESTADOS UNIDOS;;83;;2102203;;6,8;;465277;;1;;0;;M;;41M
10 HORAS PARA O NATAL;;B2000488900000;;BRASIL;;37;;31313;;5,5;;157;;0;;1;;F;;21M
10 SEGUNDOS PARA VENCER;;B1800380700000;;BRASIL;;67;;49147;;6,8;;230;;1;;0;;M;;31M
118 DIAS;;E1500112900000;;ESTADOS UNIDOS;;28;;6766;;6,6;;10961;;1;;0;;M;;21M
12 ANOS DE ESCRAVIDÃO;;E1402440000000;;ESTADOS UNIDOS;;153;;504800;;8,1;;739860;;0;;1;;F;;11M
12 DE JUNHO DE 1993 ¿ O DIA PAIXÃO PALMEIRENSE;;B1402089200000;;BRASIL;;21;;1236;;7,5;;19;;2;;0;;M;;20M
12 HERÓIS;;E1800009300000;;ESTADOS UNIDOS;;6;;30930;;6,5;;91574;;1;;0;;M;;30M
12 HORAS PARA SOBREVIVER - O ANO DA ELEIÇÃO;;E1600733800000;;OUTROS;;42;;38954;;6;;109766;;1;;0;;M;;10M
120 BATIMENTOS POR MINUTO;;E1700453800000;;OUTROS;;58;;16947;;7,4;;16695;;1;;0;;M;;20M
120 BATIMENTOS POR MINUTO;;E1700453800000;;OUTROS;;1;;10;;7,4;;16695;;1;;0;;M;;20M
13 EXORCISMOS;;E2200426000000;;OUTROS;;11;;117782;;4,4;;728;;1;;0;;M;;32M
13 HORAS: OS SOLDADOS SECRETOS DE BENGHAZI;;E1500921300000;;ESTADOS UNIDOS;;21;;72437;;7,3;;159992;;1;;0;;M;;20M
13 MINUTOS;;E1600539500000;;OUTROS;;89;;15418;;7;;10041;;0;;1;;F;;20M
13° DISTRITO (2014);;E1402414300000;;OUTROS;;35;;96773;;5,6;;44040;;1;;0;;M;;30M
150 MILIGRAMAS;;E1700363400000;;OUTROS;;35;;762;;6,6;;1504;;0;;1;;F;;22M
18 COMIDAS;;E1500841200000;;OUTROS;;82;;1657;;6,4;;539;;1;;0;;M;;21M
180º;;B1001247700000;;BRASIL;;1;;9;;5,8;;100;;1;;0;;M;;10M
1917;;E1900439000000;;ESTADOS UNIDOS;;122;;1230035;;8,2;;671874;;1;;0;;M;;20M
1945;;E1800119400000;;OUTROS;;89;;16976;;7,1;;4282;;0;;1;;F;;11M
1976 - O ANO DA INVASÃO CORINTHIANA;;B1600603300000;;BRASIL;;21;;5938;;8,7;;15;;1;;0;;M;;20M
2:22 - ENCONTRO MARCADO;;E1700380500000;;OUTROS;;29;;30662;;5,7;;25603;;1;;0;;M;;20M
2046 - OS SEGREDOS DO AMOR;;E1600546600000;;OUTROS;;2;;120;;7,4;;61659;;1;;0;;M;;10M
22 MILHAS;;E1800192400000;;ESTADOS UNIDOS;;11;;129932;;6,1;;86601;;1;;0;;M;;20M
